Binder1,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
Jerala_P1,20,1237,3430,1846,3245,4899,3835,2273,1982,5256,2122,2989
Jerala_P2,523,75,4547,2956,7055,4402,5468,5290,2169,4151,3212,4268
Jerala_P3,1642,3719,2215,237,2829,1758,2149,1801,2945,4347,1471,1957
Jerala_P4,2480,2590,1450,11,4630,5626,3248,2489,4531,5113,2424,3433
Jerala_P5,2856,4678,3270,2540,1896,1120,3045,2914,3488,2354,2885,3351
Jerala_P6,2293,2839,2953,1426,1740,24,3161,2993,1661,2754,2008,1728
Jerala_P7,1747,2105,1724,1214,3324,2606,1720,2199,2081,1557,1789,2707
Jerala_P8,3353,4385,2886,2637,4235,3081,1892,12,3815,1920,1958,4663
Jerala_P9,2950,2437,5412,2068,7646,3457,2846,4884,15,1173,2037,3719
Jerala_P10,4820,6353,8003,2132,7332,6463,6280,4001,1672,7,3059,8945
Jerala_P11,1700,3918,2605,1967,1991,2532,1396,2444,2305,1367,77,831
Jerala_P12,3318,4604,3679,1844,4158,4022,3358,3073,2325,3280,1364,3975
