Binder1,2CDP06,BCDP01,BECM01,Bcl-2,Bcl-B,Bcl-w,Bcl-xL,Bfl-1,FECM04,Mcl1[151-321],XCDP07,alphaBCL2,alphaBCLB,alphaBFL1,alphaMCL1
2CDP06,84,4820,3469,1682,9245,1217,985,3007,2876,3703,1080,3120,5280,3982,10753
BCDP01,6886,1940,5852,2973,11366,1975,1315,3225,5298,5542,2146,5021,7782,7255,8286
BECM01,7200,8236,4587,3429,12021,2335,1576,4005,5294,6140,1858,5499,9090,7075,9207
Bcl-2,1674,1552,1315,874,4682,741,447,1586,1131,2217,343,1210,2223,1471,1938
Bcl-B,15024,12424,9478,8629,534,5486,4426,11934,9896,14477,4469,12319,13880,13829,17182
Bcl-w,673,699,676,362,1773,223,385,539,526,794,163,489,947,774,987
Bcl-xL,1269,1083,1036,626,2832,391,108,935,746,1553,321,901,1251,1021,1250
Bfl-1,2831,2353,1918,1397,7284,975,753,1206,1680,3165,814,2182,3604,1994,2973
FECM04,3271,3490,3013,2834,6698,1104,793,1473,1982,2593,894,2311,4518,2904,3251
Mcl1[151-321],1888,2023,1733,948,4881,569,468,1309,1478,1068,540,1201,2010,1907,2414
XCDP07,1793,2686,1817,752,3979,579,515,1283,1670,1557,294,1402,2203,1641,2163
alphaBCL2,2784,3106,2691,1101,6581,1034,690,2169,1866,2720,710,1133,3452,2694,3275
alphaBCLB,7708,7989,5783,3439,10691,2551,1984,5529,6040,7364,1733,5524,5355,6692,8029
alphaBFL1,5457,5380,5093,2491,13309,2248,1238,2394,3926,4282,1242,4038,6836,1881,5722
alphaMCL1,3197,3584,2812,1569,6790,1337,857,3092,2434,2160,820,2692,3919,2891,2346
