Binder,x,y
A_HT_DHD_27,0,0
A_HT_DHD_84,1,0
A_HT_DHD_22,2,0
B_HT_DHD_24,3,0
A_HT_DHD_60,4,0
A_HT_DHD_56,5,0
A_HT_DHD_82,6,0
A_HT_DHD_8,7,0
A_HT_DHD_77,8,0
A_ZCON_37,9,0
B_HT_DHD_33,10,0
A_HT_DHD_54,11,0
A_HT_DHD_87,12,0
A_ZCON_15_re_loop,13,0
A_HT_DHD_73,14,0
A_HT_DHD_96,15,0
A_HT_DHD_53,16,0
A_HT_DHD_78,17,0
B_HT_DHD_29,0,2
B_HT_DHD_84,1,2
B_HT_DHD_7,2,2
B_HT_DHD_34,3,2
A_HT_DHD_91,4,2
B_HT_DHD_60,5,2
B_HT_DHD_67,6,2
B_HT_DHD_5,7,2
B_HT_DHD_94,8,2
B_HT_DHD_85,9,2
B_ZCON_150,10,2
A_HT_DHD_74,11,2
B_HT_DHD_19,12,2
B_ZCON_15_re_loop,13,2
B_HT_DHD_42,14,2
A_ZCON_154,15,2
B_HT_DHD_35,16,2
B_HT_DHD_92,17,2
