Binder,x,y,x2,x3
A_HT_DHD_16,0,0,0,0
A_HT_DHD_27,2,0,6,40
B_HT_DHD_32,4,0,12,80
A_HT_DHD_4,6,0,18,120
A_HT_DHD_36,8,0,24,160
A_ZCON_37,10,0,30,200
A_HT_DHD_12,12,0,36,240
A_HT_DHD_84,14,0,42,280
A_HT_DHD_31,16,0,48,320
ZCON_152_B,18,0,54,360
A_HT_DHD_24,20,0,60,400
B_HT_DHD_24,22,0,66,440
A_ZCON_162,24,0,72,480
A_HT_DHD_61,26,0,78,520
A_HT_DHD_32,28,0,84,560
B_HT_DHD_46,30,0,90,600
A_HT_DHD_53,32,0,96,640
A_HT_DHD_44,34,0,102,680
B_HT_DHD_17,36,0,108,720
A_HT_DHD_93,38,0,114,760
A_HT_DHD_58,40,0,120,800
A_HT_DHD_62,42,0,126,840
A_HT_DHD_95,44,0,132,880
B_ZCON_37,46,0,138,920
A_HT_DHD_76,48,0,144,960
B_HT_DHD_3,50,0,150,1000
A_HT_DHD_7,52,0,156,1040
A_HT_DHD_21,54,0,162,1080
B_HT_DHD_77,56,0,168,1120
A_HT_DHD_48,58,0,174,1160
B_HT_DHD_96,60,0,180,1200
A_HT_DHD_25,62,0,186,1240
DHDr2_01_A,64,0,192,1280
A_HT_DHD_98,66,0,198,1320
A_HT_DHD_54,68,0,204,1360
A_ZCON_15_re_loop,70,0,210,1400
B_HT_DHD_16,0,20,0,0
B_HT_DHD_29,2,20,6,40
DHDr2_17_B,4,20,12,80
B_HT_DHD_83,6,20,18,120
B_HT_DHD_71,8,20,24,160
mALb8_B,10,20,30,200
A_HT_DHD_3,12,20,36,240
B_HT_DHD_84,14,20,42,280
A_HT_DHD_49,16,20,48,320
ZCON_152_T2_A,18,20,54,360
A_HT_DHD_56,20,20,60,400
B_HT_DHD_34,22,20,66,440
B_ZCON_162,24,20,72,480
ZCON_155_cutT2_A,26,20,78,520
ZCON_15_re_loop_LL_B,28,20,84,560
B_HT_DHD_54,30,20,90,600
A_HT_DHD_57,32,20,96,640
DHDr2_05_B,34,20,102,680
B_HT_DHD_88,36,20,108,720
B_HT_DHD_51,38,20,114,760
A_HT_DHD_88,40,20,120,800
A_HT_DHD_74,42,20,126,840
B_HT_DHD_2,44,20,132,880
DHDr2_06_B,46,20,138,920
DHDr2_03_A,48,20,144,960
ZCON_154_resurf_A,50,20,150,1000
B_HT_DHD_75,52,20,156,1040
A_HT_DHD_73,54,20,162,1080
DHDr2_15_A,56,20,168,1120
B_HT_DHD_15,58,20,174,1160
DHDr2_20_A,60,20,180,1200
ZCON_150_resurf_B,62,20,186,1240
DHDr2_01_B,64,20,192,1280
DHDr2_06_A,66,20,198,1320
DHDr2_04_A,68,20,204,1360
DHDr2_00_B,70,20,210,1400
