"","count_DBDAD_trp1_l44","count_ADDBD_trp1_l44","count_DBDAD_his1_l44","count_ADDBD_his1_l44","count_DBDAD_trp1_l67","count_ADDBD_trp1_l67","count_DBDAD_his1_l67","count_ADDBD_his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"mALb8_A:mALb8_B",73,471,6002,18985,716,749,22390,15070,14937.3678875361,7.06670410088029,0.736062475736397,3.23982414501679e-22,1.6199120725084e-21
"mALb8_A:mALb8_cutT1_A",274,311,81,19,906,1300,108,408,239.867708131847,-0.0967450403910336,0.610674940377529,0.836807067089231,0.929785630099146
"mALb8_A:mALb8_cutT1_B",287,256,10127,8371,831,596,22731,16428,13835.3837817743,6.97746980152434,0.51576100084619,4.4883489711101e-42,4.4883489711101e-41
"mALb8_A:mALb8_cutT2_A",170,706,19,41,1230,996,44,140,207.843909681326,-1.24139044404452,0.715305300250881,0.0173632242394362,0.0578774141314539
"mALb8_A:mALb8_cutT2_B",176,594,8,48,296,756,10,124,125.633464052529,-1.24904722326209,0.675008142214411,0.0135001233939024,0.0540004935756097
"mALb8_B:mALb8_cutT1_A",292,270,13121,25612,689,891,17703,28670,19638.7533281001,7.52203568658904,0.516822087126146,2.01469118474063e-48,4.02938236948126e-47
"mALb8_B:mALb8_cutT1_B",335,299,26,22,1603,554,226,83,239.374410185419,-0.586511362060263,0.637346060868726,0.224464907506042,0.345330626932372
"mALb8_B:mALb8_cutT2_A",80,191,21,18,1429,1172,125,9980,1419.88585748543,0.829548687392962,1.00724967977156,0.15979067242325,0.345330626932372
"mALb8_B:mALb8_cutT2_B",463,29,13,122,350,1350,15,122,144.107288031194,-0.562303649589424,0.741102705152675,0.273582391812465,0.364776522416619
"mALb8_cutT1_A:mALb8_cutT1_B",442,394,10788,8911,993,669,32949,17114,16999.3663982697,6.7938450426914,0.542126764754594,2.2064753243075e-36,1.47098354953834e-35
"mALb8_cutT1_A:mALb8_cutT2_A",153,87,10,6,1385,674,59,81,146.714635039252,-0.906538589580556,0.79759596374118,0.0937574489362199,0.23439362234055
"mALb8_cutT1_A:mALb8_cutT2_B",315,93,51,8,270,884,165,809,230.301854756053,0.676983123193215,0.757702260707467,0.194330200441483,0.345330626932372
"mALb8_cutT1_B:mALb8_cutT2_A",555,494,76,62,477,1204,43,229,215.991435578419,-0.489016968830386,0.521888614480376,0.258308194178218,0.364776522416619
"mALb8_cutT1_B:mALb8_cutT2_B",239,212,83,68,100,1109,6,106,126.718920361273,-0.0102529819945158,0.668752503271133,0.983200496161524,0.983200496161524
"mALb8_cutT2_A:mALb8_cutT2_B",515,297,91,29,227,1156,6,65,148.915475030229,-0.628246147008286,0.707761181981414,0.21463881163246,0.345330626932372
"mALb8_A:mALb8_A",194,194,39,46,2,2,4,6,55.9738727950191,-0.0176875135494017,0.912420135206911,0.973360304188203,0.983200496161524
"mALb8_B:mALb8_B",143,143,15,18,31,31,17,28,41.3388375925286,-0.17811220098866,0.75240013256586,0.724779156084582,0.852681360099509
"mALb8_cutT1_A:mALb8_cutT1_A",210,210,24,28,158,158,6,10,62.3579071324433,-0.648518184621622,0.76357261948289,0.214254812239973,0.345330626932372
"mALb8_cutT2_A:mALb8_cutT2_A",109,109,17,20,564,564,12,19,79.6467984792528,-1.18263059318067,0.772467839460751,0.029021399886762,0.0829182853907485
"mALb8_cutT2_B:mALb8_cutT2_B",335,335,36,42,3,3,0,0,72.7089294845299,-0.320300550997392,1.07805683715131,0.575440547405308,0.719300684256635
