,trp1_l44,his1_l44,trp1_l67,his1_l67
DBD:mALb8_A:AD:mALb8_A,194.0,42.0,2.0,4.0
DBD:mALb8_A:AD:mALb8_B,73.0,6002.0,716.0,22390.0
DBD:mALb8_A:AD:mALb8_cutT1_A,274.0,81.0,906.0,108.0
DBD:mALb8_A:AD:mALb8_cutT1_B,287.0,10127.0,831.0,22731.0
DBD:mALb8_A:AD:mALb8_cutT2_A,170.0,19.0,1230.0,44.0
DBD:mALb8_A:AD:mALb8_cutT2_B,176.0,8.0,296.0,10.0
DBD:mALb8_B:AD:mALb8_A,471.0,18985.0,749.0,15070.0
DBD:mALb8_B:AD:mALb8_B,143.0,16.0,31.0,21.0
DBD:mALb8_B:AD:mALb8_cutT1_A,292.0,13121.0,689.0,17703.0
DBD:mALb8_B:AD:mALb8_cutT1_B,335.0,26.0,1603.0,226.0
DBD:mALb8_B:AD:mALb8_cutT2_A,80.0,21.0,1429.0,125.0
DBD:mALb8_B:AD:mALb8_cutT2_B,463.0,13.0,350.0,15.0
DBD:mALb8_cutT1_A:AD:mALb8_A,311.0,19.0,1300.0,408.0
DBD:mALb8_cutT1_A:AD:mALb8_B,270.0,25612.0,891.0,28670.0
DBD:mALb8_cutT1_A:AD:mALb8_cutT1_A,210.0,25.0,158.0,7.0
DBD:mALb8_cutT1_A:AD:mALb8_cutT1_B,442.0,10788.0,993.0,32949.0
DBD:mALb8_cutT1_A:AD:mALb8_cutT2_A,153.0,10.0,1385.0,59.0
DBD:mALb8_cutT1_A:AD:mALb8_cutT2_B,315.0,51.0,270.0,165.0
DBD:mALb8_cutT1_B:AD:mALb8_A,383.0,18558.0,596.0,16428.0
DBD:mALb8_cutT1_B:AD:mALb8_B,264.0,167.0,554.0,83.0
DBD:mALb8_cutT1_B:AD:mALb8_cutT1_A,279.0,27767.0,669.0,17114.0
DBD:mALb8_cutT1_B:AD:mALb8_cutT1_B,210.0,92.0,18.0,7.0
DBD:mALb8_cutT1_B:AD:mALb8_cutT2_A,206.0,2076.0,477.0,43.0
DBD:mALb8_cutT1_B:AD:mALb8_cutT2_B,301.0,49.0,100.0,6.0
DBD:mALb8_cutT2_A:AD:mALb8_A,706.0,41.0,996.0,140.0
DBD:mALb8_cutT2_A:AD:mALb8_B,191.0,18.0,1172.0,9980.0
DBD:mALb8_cutT2_A:AD:mALb8_cutT1_A,87.0,6.0,674.0,81.0
DBD:mALb8_cutT2_A:AD:mALb8_cutT1_B,494.0,62.0,1204.0,229.0
DBD:mALb8_cutT2_A:AD:mALb8_cutT2_A,109.0,18.0,564.0,14.0
DBD:mALb8_cutT2_A:AD:mALb8_cutT2_B,515.0,91.0,227.0,6.0
DBD:mALb8_cutT2_B:AD:mALb8_A,594.0,48.0,756.0,124.0
DBD:mALb8_cutT2_B:AD:mALb8_B,29.0,122.0,1350.0,122.0
DBD:mALb8_cutT2_B:AD:mALb8_cutT1_A,93.0,8.0,884.0,809.0
DBD:mALb8_cutT2_B:AD:mALb8_cutT1_B,212.0,68.0,1109.0,106.0
DBD:mALb8_cutT2_B:AD:mALb8_cutT2_A,297.0,29.0,1156.0,65.0
DBD:mALb8_cutT2_B:AD:mALb8_cutT2_B,335.0,38.0,3.0,0.0
